MemTotal:        8000000 kB
MemFree:         2000000 kB
MemAvailable:    4000000 kB
Cached:          1500000 kB
SwapTotal:       2000000 kB
SwapFree:        1000000 kB
AnonPages:       900000 kB
Shmem:           50000 kB
SReclaimable:    120000 kB
SUnreclaim:      80000 kB
KernelStack:     20000 kB
PageTables:      30000 kB
Dirty:           4000 kB
Writeback:       1000 kB
CommitLimit:     10000000 kB
Committed_AS:    6000000 kB
Active(anon):    700000 kB
Inactive(anon):  200000 kB
Active(file):    900000 kB
Inactive(file):  600000 kB
